doc_id,parg_num,sent_num,token_num,0
0,0,0,0,variation
0,0,0,1,lattice
0,0,0,2,constant
0,0,0,3,alloying
0,0,0,4,elements
0,0,0,5,essential
0,0,0,6,issue
0,0,0,7,alloy
0,0,0,8,design
0,0,1,0,traditional
0,0,1,1,single-based
0,0,1,2,alloys
0,0,1,3,tremendous
0,0,1,4,database
0,0,1,5,predicting
0,0,1,6,lattice
0,0,1,7,constant
0,0,2,0,However
0,0,2,1,traditional
0,0,2,2,database
0,0,2,3,suitable
0,0,2,4,emerging
0,0,2,5,multi-principal
0,0,2,6,components
0,0,2,7,alloys
0,0,2,8,referred
0,0,2,9,high
0,0,2,10,entropy
0,0,2,11,alloys
0,0,3,0,framework
0,0,3,1,proposed
0,0,3,2,describe
0,0,3,3,variation
0,0,3,4,lattice
0,0,3,5,constants
0,0,3,6,high
0,0,3,7,entropy
0,0,3,8,alloys
0,0,4,0,Based
0,0,4,1,quantitative
0,0,4,2,measurement
0,0,4,3,lattice
0,0,4,4,constants
0,0,4,5,fourteen
0,0,4,6,alloys
0,0,4,7,constructed
0,0,4,8,lattice
0,0,4,9,constant
0,0,4,10,database
0,0,4,11,concentrated
0,0,4,12,CoCrFeNi
0,0,4,13,alloys
0,0,5,0,discrepancy
0,0,5,1,binary
0,0,5,2,alloys
0,0,5,3,high
0,0,5,4,entropy
0,0,5,5,alloys
0,0,5,6,revealed
0,0,5,7,atomic
0,0,5,8,chemical
0,0,5,9,interactions
0,1,0,0,one
0,1,0,1,important
0,1,0,2,physical
0,1,0,3,parameters
0,1,0,4,crystalline
0,1,0,5,materials
0,1,0,6,lattice
0,1,0,7,constant
0,1,0,8,involved
0,1,0,9,everywhere
0,1,0,10,material
0,1,0,11,science
0,1,0,12,engineering
0,1,1,0,Simply
0,1,1,1,thermal
0,1,1,2,expansion
0,1,1,3,exactly
0,1,1,4,revealed
0,1,1,5,temperature-dependent
0,1,1,6,lattice
0,1,1,7,constants
0,1,1,8,Another
0,1,1,9,case
0,1,1,10,lattice
0,1,1,11,distortion
0,1,1,12,playing
0,1,1,13,crucial
0,1,1,14,role
0,1,1,15,material
0,1,1,16,science
0,1,2,0,Even
0,1,2,1,superconductivity
0,1,2,2,lattice
0,1,2,3,distortion
0,1,2,4,thought
0,1,2,5,one
0,1,2,6,important
0,1,2,7,factors
0,1,2,8,determining
0,1,2,9,transition
0,1,2,10,temperature
0,1,3,0,Furthermore
0,1,3,1,lattice
0,1,3,2,misfit
0,1,3,3,phase
0,1,3,4,boundaries
0,1,3,5,determines
0,1,3,6,functional
0,1,3,7,mechanical
0,1,3,8,behaviors
0,1,3,9,multiphase
0,1,3,10,materials
0,1,4,0,Therefore
0,1,4,1,regulation
0,1,4,2,lattice
0,1,4,3,constant
0,1,4,4,important
